Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A878853,"5408 WESTMINSTER DRIVE
AUSTIN 78723
(30.30666, -97.68963)",Yes (come to the shelter),04/18/2023,Dog,Pit Bull Mix,Blue/White,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878853
A879012,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879012
A682044,JAKES HILL78660,Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair Mix,Calico,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A682044
A878939,"EMERALD FOREST
AUSTIN 78745",Yes (come to the shelter),04/19/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878939
A879033,"7301 SPICEWOOD SPRING RD78759
(30.40673, -97.79031)",Yes (come to the shelter),04/20/2023,Dog,Pit Bull,Blue/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A879033
A878605,"919 PARK PLAZA
AUSTIN 78753
(30.34989, -97.69003)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Black,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878605
A879054,"400 GROVE BLVD
AUSTIN 78741
(30.24036, -97.70043)",Yes (come to the shelter),04/20/2023,Dog,Catahoula/Labrador Retriever,Brown Brindle,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879054
A878612,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Calico,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878612
A878812,"512 EBERHART LN
AUSTIN 78745
(30.19988, -97.78429)",Yes (come to the shelter),04/17/2023,Dog,Siberian Husky Mix,Brown Brindle/White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878812
A878729,"SOUTH FIRST AUSTIN 78704
(30.25565, -97.76662)",Yes (come to the shelter),04/16/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878729
A878664,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878664
A878713,"183 AUSTIN78741
(34.9609, -85.23809)",Yes (come to the shelter),04/18/2023,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878713
A878668,"CONGRESS
AUSTIN 78745",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Tortie,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878668
A878805,"NORTH BAYLOR STREET
AUSTIN 78703",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Blue,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878805
A878616,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Cream Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878616
A879025,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879025
A878659,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878659
A878761,"JAIN LANE AUSTIN 78721
(30.27606, -97.67561)",No (contact for more info),04/16/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878761
A878958,"1156 WEST CESAR
CHAVEZ AUSTIN 78703
(30.26968, -97.75896)",Yes (come to the shelter),04/19/2023,Dog,Pit Bull Mix,Gray/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878958
A878813,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Tortie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878813
A878879,11611 FM78617,Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair Mix,White/Orange Tabby,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878879
A878678,"5900 BOYCE LN
AUSTIN 78754
(30.36472, -97.61267)",Yes (come to the shelter),04/15/2023,Dog,Labrador Retriever,Chocolate,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878678
A879018,8718 FM78719,Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Tortie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A879018
A879055,1730 FORT DESSAU RD78753,Yes (come to the shelter),04/20/2023,Dog,Labrador Retriever,White/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879055
A878914,"WEST MASTERSON PASS
AUSTIN 78753",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878914
A878817,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black Smoke,Intact Female,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878817
A878943,"1810 GAYLORD DR
AUSTIN 78728
(30.43783, -97.67734)",Yes (come to the shelter),04/19/2023,Dog,Pit Bull Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878943
A879043,"3501 SHORLINE DR78728
(30.45607, -97.68591)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879043
A772885,"1514 FRONTIER VALLEY
AUSTIN 78741
(30.22562, -97.6945)",Yes (come to the shelter),04/15/2023,Dog,Labrador Retriever Mix,Black,Neutered Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A772885
A878872,"SOUTH SLAUGHTER LANE
AUSTIN 78748",Yes (come to the shelter),04/18/2023,Dog,Alaskan Husky Mix,Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878872
A878606,"933 PARK PLAZA
AUSTIN 78735
(30.34975, -97.68973)",Yes (come to the shelter),04/14/2023,Dog,German Shepherd Mix,Black/Brown,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878606
A878816,"ALGUNO ROAD
AUSTIN 78757",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black Smoke,Intact Male,1 day,http://www.petharbor.com/pet.asp?uaid=ASTN.A878816
A879044,"3501 SHORLINE DR78728
(30.45607, -97.68591)",Yes (come to the shelter),04/20/2023,Cat,Domestic Shorthair,Black,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879044
A878915,"WEST MASTERSON PASS
AUSTIN 78753",Yes (come to the shelter),04/18/2023,Cat,Domestic Shorthair,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878915
A879013,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Longhair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879013
A878671,"1430 FRONTIER VALLEY DRIVE78741
(30.22637, -97.69369)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Calico,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878671
A878715,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,White/Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878715
A878854,"5408 WESTMINSTER DRIVE
AUSTIN 78723
(30.30666, -97.68963)",Yes (come to the shelter),04/18/2023,Dog,Pit Bull Mix,Black Brindle/Brown,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878854
A878660,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878660
